trial name,items,id,type,threads,completion time,service time,bandwidth,speedup,scalability,efficiency
house720-h1-3iter-stream,84,2,threads,6,613295,7301.13,0,3.83,3.57,.63
house720-h1-3iter-stream,84,2,threads,7,586309,6979.86,0,4.01,3.73,.57
house720-h1-3iter-stream,84,2,threads,8,482355,5742.32,0,4.88,4.54,.61
house720-h1-3iter-stream,84,2,threads,9,503887,5998.65,0,4.67,4.34,.51
house720-h1-3iter-stream,84,2,threads,10,482113,5739.44,0,4.88,4.54,.48
house720-h1-3iter-stream,84,2,threads,11,469825,5593.15,0,5.01,4.66,.45
house720-h1-3iter-stream,84,2,threads,12,469547,5589.84,0,5.01,4.66,.41
house720-h1-3iter-stream,84,2,threads,13,486142,5787.40,0,4.84,4.50,.37
house720-h1-3iter-stream,84,2,threads,14,505751,6020.84,0,4.65,4.33,.33
house720-h1-3iter-stream,84,2,threads,15,478569,5697.25,0,4.92,4.57,.32
house720-h1-3iter-stream,84,2,threads,16,454053,5405.39,0,5.18,4.82,.32
house720-h1-3iter-stream,84,2,threads,17,498083,5929.55,0,4.72,4.39,.27
house720-h1-3iter-stream,84,2,threads,18,482401,5742.86,0,4.88,4.54,.27
house720-h1-3iter-stream,84,2,threads,19,453919,5403.79,0,5.18,4.82,.27
house720-h1-3iter-stream,84,2,threads,20,475260,5657.85,0,4.95,4.61,.24
house720-h1-3iter-stream,84,2,threads,21,536169,6382.96,0,4.39,4.08,.20
house720-h1-3iter-stream,84,2,threads,22,471088,5608.19,0,4.99,4.65,.22
house720-h1-3iter-stream,84,2,threads,23,481852,5736.33,0,4.88,4.54,.21
house720-h1-3iter-stream,84,2,threads,24,534701,6365.48,0,4.40,4.09,.18
house720-h1-3iter-stream,84,2,threads,25,503846,5998.16,0,4.67,4.34,.18
house720-h1-3iter-stream,84,2,threads,26,499582,5947.40,0,4.71,4.38,.18
house720-h1-3iter-stream,84,2,threads,27,459522,5470.50,0,5.12,4.76,.18
house720-h1-3iter-stream,84,2,threads,28,492906,5867.92,0,4.77,4.44,.17
house720-h1-3iter-stream,84,2,threads,29,514392,6123.71,0,4.57,4.25,.15
house720-h1-3iter-stream,84,2,threads,30,493085,5870.05,0,4.77,4.44,.15
house720-h1-3iter-stream,84,2,threads,31,494135,5882.55,0,4.76,4.43,.15
house720-h1-3iter-stream,84,2,threads,32,528010,6285.83,0,4.45,4.15,.13
house720-h1-3iter-stream,84,2,threads_pin,1,2190482,26077.16,0,1.07,1.00,1.07
house720-h1-3iter-stream,84,2,threads_pin,2,1990810,23700.11,0,1.18,1.10,.59
house720-h1-3iter-stream,84,2,threads_pin,3,1151840,13712.38,0,2.04,1.90,.68
house720-h1-3iter-stream,84,2,threads_pin,4,1108289,13193.91,0,2.12,1.97,.53
house720-h1-3iter-stream,84,2,threads_pin,5,839915,9998.98,0,2.80,2.60,.56
house720-h1-3iter-stream,84,2,threads_pin,6,820676,9769.95,0,2.86,2.66,.47
house720-h1-3iter-stream,84,2,threads_pin,7,685342,8158.83,0,3.43,3.19,.49
house720-h1-3iter-stream,84,2,threads_pin,8,656509,7815.58,0,3.58,3.33,.44
house720-h1-3iter-stream,84,2,threads_pin,9,582826,6938.40,0,4.04,3.75,.44
house720-h1-3iter-stream,84,2,threads_pin,10,587132,6989.66,0,4.01,3.73,.40
house720-h1-3iter-stream,84,2,threads_pin,11,528990,6297.50,0,4.45,4.14,.40
house720-h1-3iter-stream,84,2,threads_pin,12,519166,6180.54,0,4.53,4.21,.37
house720-h1-3iter-stream,84,2,threads_pin,13,525222,6252.64,0,4.48,4.17,.34
house720-h1-3iter-stream,84,2,threads_pin,14,507715,6044.22,0,4.63,4.31,.33
house720-h1-3iter-stream,84,2,threads_pin,15,469741,5592.15,0,5.01,4.66,.33
house720-h1-3iter-stream,84,2,threads_pin,16,469527,5589.60,0,5.01,4.66,.31
house720-h1-3iter-stream,84,2,threads_pin,17,475050,5655.35,0,4.95,4.61,.29
house720-h1-3iter-stream,84,2,threads_pin,18,458141,5454.05,0,5.14,4.78,.28
house720-h1-3iter-stream,84,2,threads_pin,19,460976,5487.80,0,5.10,4.75,.26
house720-h1-3iter-stream,84,2,threads_pin,20,477131,5680.13,0,4.93,4.59,.24
house720-h1-3iter-stream,84,2,threads_pin,21,460445,5481.48,0,5.11,4.75,.24
house720-h1-3iter-stream,84,2,threads_pin,22,449979,5356.89,0,5.23,4.86,.23
house720-h1-3iter-stream,84,2,threads_pin,23,476957,5678.05,0,4.93,4.59,.21
house720-h1-3iter-stream,84,2,threads_pin,24,506665,6031.72,0,4.64,4.32,.19
house720-h1-3iter-stream,84,2,threads_pin,25,517185,6156.96,0,4.55,4.23,.18
house720-h1-3iter-stream,84,2,threads_pin,26,509953,6070.86,0,4.61,4.29,.17
house720-h1-3iter-stream,84,2,threads_pin,27,504596,6007.09,0,4.66,4.34,.17
house720-h1-3iter-stream,84,2,threads_pin,28,536107,6382.22,0,4.39,4.08,.15
house720-h1-3iter-stream,84,2,threads_pin,29,506079,6024.75,0,4.65,4.32,.16
house720-h1-3iter-stream,84,2,threads_pin,30,526488,6267.71,0,4.47,4.16,.14
house720-h1-3iter-stream,84,2,threads_pin,31,550288,6551.04,0,4.27,3.98,.13
house720-h1-3iter-stream,84,2,threads_pin,32,518720,6175.23,0,4.53,4.22,.14

house720-h1-3iter-stream,84,3,seq,1,2412277,28717.58,0,1,1,1
house720-h1-3iter-stream,84,3,threads,1,2191653,26091.10,0,1.10,1.00,1.10
house720-h1-3iter-stream,84,3,threads,2,1204318,14337.11,0,2.00,1.81,1.00
house720-h1-3iter-stream,84,3,threads,3,896128,10668.19,0,2.69,2.44,.89
house720-h1-3iter-stream,84,3,threads,4,837994,9976.11,0,2.87,2.61,.71
house720-h1-3iter-stream,84,3,threads,5,640653,7626.82,0,3.76,3.42,.75
house720-h1-3iter-stream,84,3,threads,6,585302,6967.88,0,4.12,3.74,.68
house720-h1-3iter-stream,84,3,threads,7,501120,5965.71,0,4.81,4.37,.68
house720-h1-3iter-stream,84,3,threads,8,489620,5828.80,0,4.92,4.47,.61
house720-h1-3iter-stream,84,3,threads,9,515776,6140.19,0,4.67,4.24,.51
house720-h1-3iter-stream,84,3,threads,10,507270,6038.92,0,4.75,4.32,.47
house720-h1-3iter-stream,84,3,threads,11,460470,5481.78,0,5.23,4.75,.47
house720-h1-3iter-stream,84,3,threads,12,483991,5761.79,0,4.98,4.52,.41
house720-h1-3iter-stream,84,3,threads,13,463945,5523.15,0,5.19,4.72,.39
house720-h1-3iter-stream,84,3,threads,14,463958,5523.30,0,5.19,4.72,.37
house720-h1-3iter-stream,84,3,threads,15,485024,5774.09,0,4.97,4.51,.33
house720-h1-3iter-stream,84,3,threads,16,481999,5738.08,0,5.00,4.54,.31
house720-h1-3iter-stream,84,3,threads,17,481963,5737.65,0,5.00,4.54,.29
house720-h1-3iter-stream,84,3,threads,18,448033,5333.72,0,5.38,4.89,.29
house720-h1-3iter-stream,84,3,threads,19,514661,6126.91,0,4.68,4.25,.24
house720-h1-3iter-stream,84,3,threads,20,480838,5724.26,0,5.01,4.55,.25
house720-h1-3iter-stream,84,3,threads,21,489932,5832.52,0,4.92,4.47,.23
house720-h1-3iter-stream,84,3,threads,22,491458,5850.69,0,4.90,4.45,.22
house720-h1-3iter-stream,84,3,threads,23,475470,5660.35,0,5.07,4.60,.22
house720-h1-3iter-stream,84,3,threads,24,519235,6181.36,0,4.64,4.22,.19
house720-h1-3iter-stream,84,3,threads,25,457450,5445.83,0,5.27,4.79,.21
house720-h1-3iter-stream,84,3,threads,26,507544,6042.19,0,4.75,4.31,.18
house720-h1-3iter-stream,84,3,threads,27,500683,5960.51,0,4.81,4.37,.17
house720-h1-3iter-stream,84,3,threads,28,515311,6134.65,0,4.68,4.25,.16
house720-h1-3iter-stream,84,3,threads,29,489627,5828.89,0,4.92,4.47,.16
house720-h1-3iter-stream,84,3,threads,30,485531,5780.13,0,4.96,4.51,.16
house720-h1-3iter-stream,84,3,threads,31,477410,5683.45,0,5.05,4.59,.16
house720-h1-3iter-stream,84,3,threads,32,520016,6190.66,0,4.63,4.21,.14
house720-h1-3iter-stream,84,3,threads_pin,1,2269838,27021.88,0,1.06,1.00,1.06
house720-h1-3iter-stream,84,3,threads_pin,2,1991827,23712.22,0,1.21,1.13,.60
